complex_id,apt_name,sigungu,identity_status,join_status,full_pnus
cx_c75ce2097cf4bb54,"신이모닝빌",강동구,SINGLE_PARCEL,PNU_LOT_CONFLICT,["1174010800104130000"]
cx_c75fef2fea55ab7d,"한강훼미리주상복합아파트",동대문구,SINGLE_PARCEL,PNU_NOT_FOUND,["1123010600103810000"]
cx_c7699d32b571249b,"부흥아파트(33-10)",은평구,SINGLE_PARCEL,PNU_NOT_FOUND,["1138010900100330000"]
cx_c76e20a3ac157d60,"스타파크",광진구,SINGLE_PARCEL,PNU_NOT_FOUND,["1121510300100590000"]
cx_c77566f1f8dbe402,"동성아파트(101동)",송파구,MULTI_RECORD_SAME_PARCEL,PNU_LOT_CONFLICT,["1171010700100150000"]
cx_c7828374a7f4893c,"경남",영등포구,SINGLE_PARCEL,PNU_NOT_FOUND,["1156013200100670000"]
cx_c78dffd5b933028f,"충우하이빌",서대문구,SINGLE_PARCEL,PNU_LOT_CONFLICT,["1141011700100510000"]
cx_c799a6432da8f25a,"한신3차",서초구,NO_PNU,NO_PNU,[]
cx_c7a7d052ddeca6b3,"래미안펜타빌",강남구,SINGLE_PARCEL,PNU_LOT_CONFLICT,["1168010100107130000"]
cx_c7aeac24917528f0,"범양프레체",중랑구,SINGLE_PARCEL,PNU_LOT_CONFLICT,["1126010300102080000"]
cx_c7b5d37ce82506f6,"서초로즈힐",서초구,SINGLE_PARCEL,PNU_NOT_FOUND,["1165010800115270000"]
cx_c7c91db9a751095a,"정산(103동)",강동구,SINGLE_PARCEL,PNU_LOT_CONFLICT,["1174010700104410000"]
cx_c7d3553b430f4da0,"도곡현대힐스테이트105동",강남구,SINGLE_PARCEL,PNU_NOT_FOUND,["1168011800101840000"]
cx_c7e6680dffb519dc,"노블레스빌",종로구,SINGLE_PARCEL,PNU_NOT_FOUND,["1111018300101550000"]
cx_c7ed8b8032d6b5b9,"금성파크b동",도봉구,SINGLE_PARCEL,PNU_NOT_FOUND,["1132010700106650000"]
cx_c8062f9a7f9edb2a,"강남드리움2차",동작구,SINGLE_PARCEL,PNU_NOT_FOUND,["1159010700110510000"]
cx_c80e3232368970b0,"신아",은평구,SINGLE_PARCEL,PNU_NOT_FOUND,["1138010900100060000"]
cx_c824b8a151c28927,"삼우지엔씨",강서구,SINGLE_PARCEL,PNU_LOT_CONFLICT,["1150010200106460000"]
cx_c826f64c4c4fb9ab,"정성드리움",관악구,SINGLE_PARCEL,PNU_LOT_CONFLICT,["1162010200104600000"]
cx_c841a4033db3da8a,"덕현해밀(102동)",양천구,SINGLE_PARCEL,PNU_NOT_FOUND,["1147010300100810000"]
cx_c85b2d34d445826a,"금광아크존(635-14)",강남구,SINGLE_PARCEL,PNU_LOT_CONFLICT,["1168010700106350000"]
cx_c85b2e4880ed80fa,"함성참좋은",마포구,SINGLE_PARCEL,PNU_NOT_FOUND,["1144012000102470000"]
cx_c85f08655eb72b10,"에벤에셀프라자",금천구,SINGLE_PARCEL,PNU_LOT_CONFLICT,["1154510300109120000"]
cx_c872dd605b74419f,"신사동씨티빌",강남구,SINGLE_PARCEL,PNU_LOT_CONFLICT,["1168010700105230000"]
cx_c882b34641dd79ae,"경서",중구,SINGLE_PARCEL,PNU_NOT_FOUND,["1114011200102050000"]
