complex_id,apt_name,sigungu,coord_status,reb_status,our_pnu_key,our_jibun_addr
cx_848e3dc8f9ab9a17,"삼익플라주",영등포구,NO_MATCH,EXACT_PARCEL,115601140000970000,"서울 영등포구 당산동4가 97"
cx_849619409dca48c4,"대영(62-68)",광진구,NO_MATCH,EXACT_JIBUN_ADDRESS,112151010000620068,"서울 광진구 중곡동 62-68"
cx_84a80f3e33071d02,"하이캐슬102동",관악구,NO_MATCH,EXACT_JIBUN_ADDRESS,116201010015950012,"서울 관악구 봉천동 1595-12"
cx_84ac6616dd3367b0,"해피그린(171-21)",구로구,NO_MATCH,EXACT_JIBUN_ADDRESS,115301060001710021,"서울 구로구 고척동 171-21"
cx_84af00746d143261,"타워맨션",용산구,NO_MATCH,EXACT_JIBUN_ADDRESS,111701290003020028,"서울 용산구 이촌동 302-28"
cx_84b7c4d94af85b4f,"세방",중랑구,NO_MATCH,EXACT_PARCEL,112601040003830000,"서울 중랑구 묵동 383"
cx_84bfde452223d882,"이산",강남구,NO_MATCH,EXACT_JIBUN_ADDRESS,116801080001940022,"서울 강남구 논현동 194-22"
cx_84c6177f5d0cf119,"쌍용스윗닷홈2차",송파구,NO_MATCH,EXACT_JIBUN_ADDRESS,117101130000270005,"서울 송파구 거여동 27-5"
cx_84ccd4e3942c47c6,"서초네스피아a",서초구,NO_MATCH,EXACT_JIBUN_ADDRESS,116501080014660002,"서울 서초구 서초동 1466-2"
cx_84ce969fb1ed8bbf,"한강동부",용산구,NO_MATCH,EXACT_JIBUN_ADDRESS,111701290003020063,"서울 용산구 이촌동 302-63"
cx_84da974e8fdc49a5,"두일",은평구,NO_MATCH,EXACT_JIBUN_ADDRESS,113801050003080003,"서울 은평구 구산동 308-3"
cx_84dce92eadada38f,"드림리버빌",영등포구,NO_MATCH,EXACT_PARCEL,115601170003780000,"서울 영등포구 당산동 378"
cx_84e8f62a7e5bf8e9,"천우(916-7)",강서구,NO_MATCH,NO_MATCH,115001030009160007,"서울 강서구 화곡동 916-7"
cx_84f1ddaf55edc113,"가락그랑밸리",송파구,NO_MATCH,EXACT_JIBUN_ADDRESS,117101070001410007,"서울 송파구 가락동 141-7"
cx_84f2d6eb0f1ccf0b,"청나아파트",은평구,NO_MATCH,EXACT_JIBUN_ADDRESS,113801030003300014,"서울 은평구 불광동 330-14"
cx_84f3f0d963eee76c,"신사파크빌a동",강남구,NO_MATCH,MULTI_RECORD_SAME_PARCEL,116801070005620000,"서울 강남구 신사동 562"
cx_84fa6e9a8408e07f,"강일리버파크4단지",강동구,NO_MATCH,EXACT_PARCEL,117401100006730000,"서울 강동구 강일동 673"
cx_8503ffed4088363f,"해청파인빌",서초구,NO_MATCH,EXACT_JIBUN_ADDRESS,116501020000190001,"서울 서초구 양재동 19-1"
cx_85066296693b771d,"우성아파트",송파구,NO_MATCH,EXACT_JIBUN_ADDRESS,117101010001010001,"서울 송파구 잠실동 101-1"
cx_85081373110f4777,"라파엘로",서초구,NO_MATCH,EXACT_JIBUN_ADDRESS,116501080014920001,"서울 서초구 서초동 1492-1"
cx_850ae72ff4c3bc4e,"홍은미성",서대문구,NO_MATCH,EXACT_JIBUN_ADDRESS,114101180001860001,"서울 서대문구 홍은동 186-1"
cx_850ddb31ac2d0fa4,"토석아네스아파트",강서구,NO_MATCH,EXACT_JIBUN_ADDRESS,115001030000240138,"서울 강서구 화곡동 24-138"
cx_8517aa85a9cacdf4,"서울숲해오름(717-0)",성동구,NO_MATCH,EXACT_PARCEL,112001140007170000,"서울 성동구 성수동1가 717"
cx_851e96140d5418fa,"예지보금자리",강서구,NO_MATCH,EXACT_JIBUN_ADDRESS,115001030007880039,"서울 강서구 화곡동 788-39"
cx_851f28cf5215fdf8,"남촌홈타운(730-2)",구로구,NO_MATCH,EXACT_JIBUN_ADDRESS,115301020007300002,"서울 구로구 구로동 730-2"
cx_852169942c1da957,"경원시티",관악구,NO_MATCH,EXACT_JIBUN_ADDRESS,116201010000630045,"서울 관악구 봉천동 63-45"
cx_852267611461b63b,"은성아파트",송파구,NO_MATCH,EXACT_JIBUN_ADDRESS,117101110001480007,"서울 송파구 방이동 148-7"
cx_852895d0e8853898,"중흥에스클래스",도봉구,NO_MATCH,EXACT_JIBUN_ADDRESS,113201070006650021,"서울 도봉구 창동 665-21"
cx_852fe8f43927245c,"금호",성동구,NO_MATCH,EXACT_PARCEL,112001140007140000,"서울 성동구 성수동1가 714"
cx_8530457454b8180f,"연서노벨(463-16)",은평구,NO_MATCH,EXACT_JIBUN_ADDRESS,113801040004630016,"서울 은평구 갈현동 463-16"
cx_8539f3296a6c0f8e,"도봉파크빌2",도봉구,NO_MATCH,EXACT_PARCEL,113201080006470000,"서울 도봉구 도봉동 647"
cx_853a1c070166728e,"천우캐슬",강서구,NO_MATCH,EXACT_JIBUN_ADDRESS,115001060007020007,"서울 강서구 내발산동 702-7"
cx_853a5caeb300bb9d,"반포훼미리(104동)",서초구,NO_MATCH,EXACT_JIBUN_ADDRESS,116501070007010001,"서울 서초구 반포동 701-1"
cx_853a62528cbfca70,"북한산네이처파크",강북구,NO_MATCH,EXACT_PARCEL,113051030007340000,"서울 강북구 수유동 734"
cx_853dbf83e4531f13,"한솔애리즈601동",강동구,NO_MATCH,EXACT_JIBUN_ADDRESS,117401080001990019,"서울 강동구 성내동 199-19"
cx_853fc7a804308100,"삼익",동대문구,NO_MATCH,EXACT_PARCEL,112301100000730000,"서울 동대문구 이문동 73"
cx_855073ce719d52e5,"(796-14)",구로구,NO_MATCH,EXACT_JIBUN_ADDRESS,115301020007960014,"서울 구로구 구로동 796-14"
cx_8556dde3f8ff4b53,"대성",용산구,NO_MATCH,EXACT_JIBUN_ADDRESS,111701140000770027,"서울 용산구 신창동 77-27"
cx_8558b211326e27cf,"수유벽산1차",강북구,NO_MATCH,EXACT_PARCEL,113051030002050000,"서울 강북구 수유동 205"
cx_8562c590f495e3c4,"스카이빌(8-87)",강북구,NO_MATCH,EXACT_JIBUN_ADDRESS,113051010000080087,"서울 강북구 미아동 8-87"
cx_85734aec0d015a56,"더샵파크프레스티지",영등포구,NO_MATCH,EXACT_PARCEL,115601320049740000,"서울 영등포구 신길동 4974"
cx_857d21c897c74114,"송파파인타운10단지",송파구,NO_MATCH,EXACT_PARCEL,117101090008560000,"서울 송파구 장지동 856"
cx_858a7dcdffdb2f72,"동문굿모닝탑",양천구,NO_MATCH,EXACT_JIBUN_ADDRESS,114701010003240010,"서울 양천구 신정동 324-10"
cx_85a0c84ac9ee9c35,"동일5차101동",서대문구,NO_MATCH,EXACT_JIBUN_ADDRESS,114101110003120221,"서울 서대문구 홍제동 312-221"
cx_85a972af2c216708,"북한산삼부르네상스202동203동204동",서대문구,NO_MATCH,EXACT_JIBUN_ADDRESS,114101180000080933,"서울 서대문구 홍은동 8-933"
cx_85b96bcd6cb1fa47,"당산효성1차",영등포구,NO_MATCH,EXACT_PARCEL,115601150000120000,"서울 영등포구 당산동5가 12"
cx_85c1194f354b8bbc,"우성7",강남구,NO_MATCH,MULTI_RECORD_SAME_PARCEL,116801140006150000,"서울 강남구 일원동 615"
cx_85cd8a4b2d5dc3d0,"트리지움",송파구,NO_MATCH,EXACT_PARCEL,117101010000350000,"서울 송파구 잠실동 35"
cx_85dda5f0b7f6cf9d,"대경홈타운",은평구,NO_MATCH,EXACT_JIBUN_ADDRESS,113801060000090045,"서울 은평구 대조동 9-45"
cx_85e7937bb5ab55bb,"개나리래미안",강남구,NO_MATCH,MULTI_RECORD_SAME_PARCEL,116801010007540000,"서울 강남구 역삼동 754"
cx_85f081b3caec162c,"태화빌라(733)",서초구,NO_MATCH,EXACT_PARCEL,116501010007330000,"서울 서초구 방배동 733"
cx_860980d05b35320d,"학마을1단지",양천구,NO_MATCH,EXACT_PARCEL,114701010012930000,"서울 양천구 신정동 1293"
cx_861b9e81f4234fce,"에메랄드102동",관악구,NO_MATCH,EXACT_JIBUN_ADDRESS,116201010000410259,"서울 관악구 봉천동 41-259"
cx_861dc72de4b69444,"밀레니엄삼우",은평구,NO_MATCH,NO_MATCH,113801010001480002,"서울 은평구 수색동 148-2"
cx_862294d66b99ed5f,"마곡푸르지오",강서구,NO_MATCH,EXACT_PARCEL,115001050015250000,"서울 강서구 마곡동 1525"
cx_8625e7f1e943fc23,"르가든6차",서초구,NO_MATCH,EXACT_JIBUN_ADDRESS,116501010007980010,"서울 서초구 방배동 798-10"
cx_863b3575e32abc66,"청솔브레싱b동",노원구,NO_MATCH,EXACT_JIBUN_ADDRESS,113501030003800010,"서울 노원구 공릉동 380-10"
cx_8658d5c87b8723d0,"서초래미안",서초구,NO_MATCH,EXACT_PARCEL,116501080016820000,"서울 서초구 서초동 1682"
cx_86597c76ec8eff26,"이수자이",동작구,NO_MATCH,EXACT_JIBUN_ADDRESS,115901070001470029,"서울 동작구 사당동 147-29"
cx_865ef8e513cf3b23,"염창동한강우성",강서구,NO_MATCH,EXACT_JIBUN_ADDRESS,115001010000660009,"서울 강서구 염창동 66-9"
cx_86606ab494bb373e,"한솔(61-116)",강서구,NO_MATCH,EXACT_JIBUN_ADDRESS,115001030000610116,"서울 강서구 화곡동 61-116"
cx_8668784d29bf2149,"신세계4차",강서구,NO_MATCH,EXACT_JIBUN_ADDRESS,115001060006650006,"서울 강서구 내발산동 665-6"
cx_8668b222111443d0,"디아레나서초",서초구,NO_MATCH,EXACT_JIBUN_ADDRESS,116501080015880005,"서울 서초구 서초동 1588-5"
cx_866ab3620b4c95f1,"삼성광장1",광진구,NO_MATCH,EXACT_PARCEL,112151040005610000,"서울 광진구 광장동 561"
cx_866b8df00a0a74d8,"영상라이브센스",강동구,NO_MATCH,EXACT_JIBUN_ADDRESS,117401070004460003,"서울 강동구 암사동 446-3"
cx_866cbbd7631c980e,"한강극동",광진구,NO_MATCH,EXACT_JIBUN_ADDRESS,112151050000570103,"서울 광진구 자양동 57-103"
cx_86712327a32ef5a1,"대림경동아파트",강서구,NO_MATCH,EXACT_PARCEL,115001040014740000,"서울 강서구 가양동 1474"
cx_8676088693d657a2,"대성1",마포구,NO_MATCH,EXACT_JIBUN_ADDRESS,114401230004290004,"서울 마포구 망원동 429-4"
cx_86883f4898e12f60,"동양엔파트",마포구,NO_MATCH,EXACT_PARCEL,114401080008030000,"서울 마포구 대흥동 803"
cx_868860dd7f9ac494,"한진아파트",노원구,NO_MATCH,EXACT_JIBUN_ADDRESS,113501030004080023,"서울 노원구 공릉동 408-23"
cx_868e4ca03f4317cd,"벽산블루밍3차",관악구,NO_MATCH,EXACT_PARCEL,116201010017200000,"서울 관악구 봉천동 1720"
cx_8693c168b647c216,"삼성홈타운",성동구,NO_MATCH,EXACT_PARCEL,112001050008340000,"서울 성동구 마장동 834"
cx_8694a43ced3cf586,"응암하이포롬",은평구,NO_MATCH,EXACT_JIBUN_ADDRESS,113801070001170022,"서울 은평구 응암동 117-22"
cx_869555e0d0311661,"마체스터",서대문구,NO_MATCH,EXACT_JIBUN_ADDRESS,114101110002830036,"서울 서대문구 홍제동 283-36"
