complex_id,pnu,sido_code
cx_0b01ad6928a9336a,5211112900109650003,52
cx_0b1a972d93672e5e,4812725026101920000,48
cx_0b1da97967486d89,2626010900106140004,26
cx_0b3a71d61b8cf6e2,1230010100108190000,12
cx_0b4eb763fdd0cde9,5211113300108970001,52
cx_0b57eab2faffeb25,4311210300105200040,43
cx_0b64efdcc61072c3,5213014400101550007,52
cx_0b6e4efaf044aaf9,4719012000104300000,47
cx_0b6ffe1aaed5876f,5211312300102170004,52
cx_0b723a2cf984515f,2824510100101960006,28
cx_0b99bd5ef3592866,4311410600110230000,43
cx_0bada454bb2523cb,4729010600101150007,47
cx_0bc2e87593031730,4413111600109090000,44
cx_0bcc39295420d989,1277025037105000015,12
cx_0bf6c15891c4f347,3611011200101620000,36
cx_0c02e02d09f6b4d0,4729010700100850001,47
cx_0c0c297d052623f0,4421010100105930013,44
cx_0c165647ed22ab19,5214011700113760001,52
cx_0c1cfcadaf58a2f7,5121010800115610000,51
cx_0c2872a4e5e2e1a5,1215011100105120000,12
cx_0c2ce68e1f8b04ed,5211113700107220002,52
cx_0c2d9e60bf1be976,4817012500100200000,48
cx_0c31e463867a8457,1211016000111730000,12
cx_0c35e58d1b256fa5,4719011500107490000,47
cx_0c38facbe09822e1,1227011400104730005,12
cx_0c4fddd70f2c2730,4311112000103120000,43
cx_0c5b2f99553b99be,1224010600107020000,12
cx_0c66d569985e0da5,3114010100102760001,31
cx_0c6df5600cc79889,4812313100100140005,48
cx_0c6fcb19706bc0c6,2829010700107280006,28
cx_0c80262384714be3,1233011600106870005,12
cx_0c837ac4153ef7c7,4790025330113830000,47
cx_0c86323ca7a665be,1230010100108470000,12
cx_0c9b3ff479f08697,2820011000107550004,28
cx_0c9cbb7a478d93b6,4719025625113880000,47
cx_0ca855c9da227e00,5273025021114270002,52
cx_0cb7731dcc1310c0,4719012800106170000,47
cx_0cba2da2ebd6fc0e,4817012500107050001,48
cx_0cbb015b21b58501,1224012000112180000,12
cx_0cc56df5bf2dd467,2827510500103020000,28
cx_0cca2b4f43ef0cb9,4785025622101710000,47
cx_0cd4cc788326dfa4,5211311500103590000,52
cx_0ceb68be38ee59f5,1233011700108850003,12
cx_0ced16f89dd53d9f,3114010400112670010,31
cx_0cfdd28ae5a04849,5211112700102230006,52
cx_0d05f2de9bc9fa81,4812725027108320049,48
cx_0d0ebf2f5ad7ed06,3114010900105420005,31
cx_0d1990b507ec66c0,3611025029103990000,36
cx_0d1da30622be2f21,4427038030102090002,44
cx_0d43e6d3908020c4,4415036026106410003,44
cx_0d48638119970b33,5211112800102560000,52
cx_0d4d9971d2598dc0,3611011300100810000,36
cx_0d560eeab826c1b4,4833011700105350000,48
cx_0d5705c29a3f9f8a,5182025333101650000,51
cx_0d6cf36e36c54407,5111012000105110005,51
cx_0d6d6e257838a123,5113011700118050000,51
